CarID,Listed_Date,Make,Model,Year,Vehicle_Type,Size,Color,Transmission,Fuel_Type,Drive,Cylinders,Odometer,Condition,Title_Status,State,Region
606642,2021-04-16T16:11:44-0400,subaru,forester premium,2018,SUV,mid-size,grey,automatic,gas,4wd,4,68000,excellent,clean,mi,grand rapids
916137,2021-04-27T17:08:17-0500,ford,ranger xlt,2011,truck,mid-size,white,automatic,gas,rwd,6,127003,good,salvage,ok,oklahoma city
19674,2021-04-20T09:25:48-0800,chevrolet,malibu lt,2016,sedan,full-size,grey,automatic,gas,fwd,4,14822,like new,clean,ak,anchorage / mat-su
1029858,2021-04-14T14:23:57-0400,chrysler,town & country touring,2008,mini-van,full-size,silver,automatic,gas,fwd,6,100200,like new,clean,ri,rhode island
366825,2021-05-02T23:04:38-0400,mazda,3,2009,sedan,compact,silver,automatic,gas,fwd,4,117500,good,clean,ga,atlanta
646770,2021-05-02T06:58:33-0500,toyota,prius,2006,hatchback,mid-size,silver,automatic,hybrid,fwd,4,243000,excellent,clean,mn,minneapolis / st paul
313311,2021-05-03T16:18:37-0400,kia,forte lx sedan,2017,sedan,full-size,silver,manual,gas,fwd,4,62327,like new,clean,fl,orlando
280461,2021-04-06T18:20:30-0400,chevrolet,sonic lt hatchback,2013,hatchback,full-size,white,manual,gas,fwd,4,84690,excellent,clean,fl,daytona beach
418587,2021-04-19T08:12:50-0500,mitsubishi,outlander,2009,SUV,mid-size,black,automatic,gas,fwd,4,162444,excellent,clean,il,bloomington-normal
1192026,2021-04-14T08:04:29-0400,toyota,corolla,2013,sedan,compact,white,automatic,gas,fwd,4,126000,excellent,clean,va,richmond
152406,2021-04-22T17:46:17-0700,cadillac,escalade esv awd,2005,SUV,full-size,silver,automatic,gas,4wd,8,242000,excellent,clean,ca,reno / tahoe
144162,2021-04-08T14:34:36-0700,ford,f150 4x4,2010,pickup,full-size,white,automatic,gas,4wd,8,120619,like new,clean,ca,redding
792570,2021-04-26T11:18:47-0400,honda,civic,2008,sedan,compact,silver,automatic,gas,fwd,4,99210,excellent,clean,ny,albany
319092,2021-04-26T17:31:00-0400,ford,f350 super duty,2011,truck,full-size,white,automatic,diesel,4wd,8,165697,excellent,clean,fl,orlando
552198,2021-04-09T17:11:26-0400,nissan,rogue,2014,SUV,mid-size,blue,automatic,gas,4wd,4,100000,good,clean,md,cumberland valley
721017,2021-05-04T10:43:46-0400,volkswagen,golf,2012,hatchback,compact,blue,automatic,gas,fwd,5,83,good,clean,nc,raleigh / durham / CH
499881,2021-04-24T01:36:33-0500,toyota,highlander limited,2009,SUV,full-size,red,automatic,gas,4wd,6,183000,good,clean,ks,"kansas city, MO"
1127898,2021-04-30T17:27:13-0500,toyota,highlander sport,2008,SUV,full-size,red,automatic,gas,fwd,6,202000,excellent,clean,tx,houston
1013448,2021-04-15T21:15:36-0400,buick,lacrosse,2005,sedan,mid-size,red,automatic,gas,fwd,6,104000,good,clean,pa,pittsburgh
316617,2021-04-29T16:50:34-0400,chevrolet,3500 hd -gas-,2004,truck,full-size,white,automatic,gas,rwd,8,224000,excellent,clean,fl,orlando
1250508,2021-04-09T19:11:51-0500,ford,f-150 crew cab,2009,pickup,full-size,black,automatic,gas,4wd,8,210000,good,clean,wi,eau claire
1113468,2021-04-30T16:33:13-0500,chevrolet,cruze,2012,sedan,full-size,black,manual,gas,fwd,4,131800,excellent,clean,tx,dallas / fort worth
234135,2021-05-01T07:26:35-0600,chevrolet,cruze lt,2015,sedan,full-size,red,automatic,gas,fwd,4,39000,excellent,rebuilt,co,denver
902865,2021-05-02T13:01:28-0400,ford,mustang,2004,coupe,mid-size,blue,manual,gas,rwd,6,113000,good,clean,oh,parkersburg-marietta
645528,2021-05-03T06:39:16-0500,honda,cr-v ex-l awd,2008,SUV,mid-size,green,automatic,gas,4wd,4,192135,excellent,clean,mn,minneapolis / st paul
800190,2021-04-29T21:45:58-0400,chevrolet,silverado 2500hd,2003,truck,full-size,white,automatic,gas,4wd,8,201000,good,clean,ny,buffalo
810627,2021-04-27T22:37:36-0400,ford,expedition eddie bauer 4x4,2004,SUV,full-size,red,automatic,gas,4wd,8,180032,like new,clean,ny,hudson valley
751830,2021-04-25T20:50:08-0400,toyota,rav4,2006,SUV,full-size,silver,automatic,gas,4wd,4,121216,good,clean,nj,central NJ
820728,2021-04-25T14:03:31-0400,honda,civic si,2006,coupe,compact,black,manual,gas,fwd,4,190112,good,clean,ny,long island
689610,2021-05-04T11:34:01-0400,chrysler,sebring,2010,convertible,mid-size,custom,automatic,gas,fwd,6,88102,excellent,clean,nc,asheville
850860,2021-05-01T11:00:29-0400,subaru,forester,2015,SUV,full-size,grey,automatic,gas,4wd,4,81140,like new,clean,nh,new hampshire
275310,2021-04-13T11:37:13-0400,bmw,z3 2.5i,2001,convertible,sub-compact,silver,manual,gas,rwd,6,45000,excellent,clean,de,delaware
1043532,2021-04-21T20:48:51-0400,honda,accord,1998,sedan,mid-size,green,automatic,gas,fwd,4,129371,excellent,clean,sc,greenville / upstate
32292,2021-05-03T16:37:39-0700,ford,mustang,1998,convertible,compact,red,automatic,gas,rwd,6,144000,excellent,clean,az,phoenix
357633,2021-04-26T17:43:17-0400,chevrolet,silverado 1500,2016,truck,compact,black,automatic,gas,4wd,8,123456,like new,clean,fl,tampa bay area
1165494,2021-04-13T10:26:41-0400,ford,taurus,2018,sedan,full-size,blue,automatic,gas,4wd,6,69367,excellent,clean,vt,vermont
147909,2021-04-30T09:34:50-0700,nissan,murano,2003,SUV,full-size,silver,automatic,gas,4wd,6,78383,excellent,clean,ca,reno / tahoe
266100,2021-05-02T18:10:00-0400,porsche,cayenne,2013,SUV,sub-compact,grey,automatic,gas,4wd,6,40700,like new,clean,dc,"washington, DC"
770745,2021-04-28T12:45:38-0400,kia,soul +,2018,hatchback,compact,blue,automatic,gas,fwd,4,5900,like new,rebuilt,nj,south jersey
1191783,2021-04-14T18:29:57-0400,ford,super duty f-450 drw,2008,truck,full-size,white,automatic,gas,rwd,8,118078,good,clean,va,richmond
580971,2021-05-03T17:59:46-0400,subaru,legacy,2006,sedan,mid-size,grey,automatic,gas,4wd,4,159000,excellent,clean,mi,ann arbor
922710,2021-04-29T09:38:52-0500,subaru,outback,2011,SUV,compact,custom,manual,gas,4wd,4,185000,excellent,clean,ok,texoma
816786,2021-05-02T14:26:16-0400,lexus,rx 350 sport utility,2018,SUV,full-size,black,automatic,gas,4wd,6,16500,like new,clean,ny,long island
430899,2021-04-12T08:34:53-0500,ford,focus se,2014,sedan,mid-size,blue,automatic,gas,fwd,4,111200,excellent,clean,il,peoria
638517,2021-04-12T10:38:31-0500,ford,explorer limited,2012,SUV,full-size,brown,automatic,gas,fwd,6,108814,good,clean,mn,fargo / moorhead
689379,2021-04-05T10:38:37-0600,nissan,sentra sv,2014,sedan,mid-size,silver,automatic,gas,fwd,4,53217,good,rebuilt,mt,missoula
1142127,2021-04-30T16:25:05-0500,chevrolet,tahoe lt,2015,SUV,full-size,red,automatic,gas,rwd,8,99235,excellent,clean,tx,san antonio
513978,2021-04-28T14:19:52-0400,toyota,fj cruiser 4wd,2007,SUV,full-size,yellow,automatic,gas,4wd,6,170000,excellent,clean,ky,lexington
934341,2021-04-30T10:07:41-0700,chevrolet,1500 4x4,2016,pickup,full-size,black,automatic,gas,4wd,8,36170,good,clean,or,bend
913683,2021-05-03T12:53:09-0500,jeep,grand cherokee laredo,2015,SUV,full-size,white,automatic,gas,rwd,8,90889,excellent,clean,ok,oklahoma city
1265118,2021-04-08T19:04:59-0500,ram,1500,2012,truck,full-size,black,automatic,gas,4wd,8,186974,good,clean,wi,madison
279837,2021-04-10T14:49:54-0400,chevrolet,silverado 1500 ltz,2013,pickup,full-size,grey,automatic,gas,4wd,8,138486,excellent,clean,fl,daytona beach
